column_1,column_2,column_3,column_4,column_5
-347,-6008,263,1505,-6374
2270,3709,1399,1090,6978
-1665,5732,1063,3332,5227
-2157,-3577,1814,-986,1389
1455,5280,2281,-2956,5376
860,-4611,-391,3889,3031
-999,-6102,2394,-281,-7867
-2131,-7263,-1359,-2738,-7741
-831,6576,-989,-3709,7955
-1146,1711,1143,5314,5817
599,8216,-321,-662,-6355
154,-2752,-1988,5341,-179
-1897,-45,2376,-3243,-430
-450,7474,1621,4475,6827
-2204,8010,-1255,906,6455
2176,-3497,-861,-2748,8200
-677,539,84,4534,-520
-608,234,-843,5358,-7230
-487,1378,-2269,-5144,5791
1501,-4995,825,-1524,3730
152,3691,2165,3812,2260
-827,-6838,-292,1287,-5627
-139,-1289,835,5403,-2784
-1194,6400,2033,4847,481
1793,4644,-203,3418,7127
1255,1975,1070,3602,-4772
717,-7280,1179,341,-6798
2219,6288,-905,1424,6857
-2201,-6071,-821,4627,7849
-2358,-7753,985,-2788,4139
201,7869,1120,-1203,1070
1024,3421,571,-2,3868
-693,-4547,1690,-2361,-3123
-1751,5927,-455,952,-167
-2253,-1214,2126,2842,-2480
-1115,4213,1423,-4807,-4669
-216,-367,-835,-2577,-847
1976,-5448,-1470,4943,5136
-1139,-2896,505,-944,-6295
-1162,-7214,-1804,-1706,5996
-2065,7236,449,-3849,5596
2383,-7600,107,-4221,3557
-324,6284,154,4034,-6494
464,1245,-243,4960,4935
-1485,1414,691,2174,-8188
1107,7433,-795,-1264,685
1751,-513,-2221,-718,1080
1405,3501,-432,-5390,-7914
-722,-776,1829,-4111,-185
-1371,6819,-1263,-2343,6145
-2273,7190,-700,-2148,-6959
1148,2363,1909,4214,4719
2256,-3530,398,4202,4973
254,-2414,15,2374,-617
2202,-8131,975,-2650,-2779
227,5106,-864,-4223,-2551
943,-2811,2092,782,-6082
1691,-7006,-2312,2181,-40
1090,-4778,1703,2083,7463
-471,-966,1528,-5249,-6792
-1375,-6533,-405,516,-6809
-2377,-5595,-1721,765,-7779
609,-3994,-922,4235,-5027
451,-4664,-520,144,-6762
2334,-6327,-121,-1660,-1801
544,1212,1450,3615,2434
-2179,-6356,-268,4756,-7562
-1085,-5095,588,5571,1786
-658,-1163,-1288,-4379,-4068
661,1622,1442,725,1683
-184,-5292,-1699,-991,6678
264,-1956,-937,-5352,8467
-1747,3592,-779,-4580,6331
-383,4108,1852,-1381,-5122
-715,-1579,1565,-163,7918
-1465,2656,397,3149,-6325
-1557,-301,2088,536,-1220
-1784,-4999,1432,1331,4822
-2173,4297,-1309,-1596,-1134
-1370,6496,-418,-5720,2217
-2217,-3040,944,144,4383
-506,247,-1505,-2303,-5541
-1670,-3007,-1311,-2212,-4738
201,6668,-2212,-38,-1615
-1485,4135,1871,-5685,-2260
-613,-6465,1090,-2459,6871
1801,8006,1835,1978,1520
-867,-6653,-2072,-297,-5373
702,-8201,-800,92,-3284
234,4593,72,2966,-3879
2323,-2218,-1614,5214,1492
1429,-5411,1288,-2644,-4373
-836,3222,1712,1981,-255
-153,-7733,-66,-3684,-808
1773,-3237,-1391,-2284,8531
-313,-5590,-1062,-2538,5644
-733,5873,1039,-309,-4976
1538,-8156,774,-2514,-7473
228,-3247,-1771,4731,-4257
1803,983,-928,-460,-2745
-1472,-669,-2198,774,-3764
2187,7267,470,3674,-8526
-236,3109,-101,-1370,-2037
-824,-1598,-1552,5430,-3886
921,-3638,-1210,3225,6857
-1066,-3932,354,-5410,6376
711,2919,2148,-3092,-7744
1226,2644,-56,3851,7989
-1815,-6706,2371,-3854,3157
-1331,-4642,1727,-4643,802
-727,-2432,1428,-3721,-4256
-2054,-6496,-385,4228,-1147
-660,-3641,207,-1313,-3996
-738,2420,-2342,-4221,3336
-1313,-3958,-1675,-2298,-4111
1330,3605,-434,-1875,5354
-65,-637,426,1685,-2068
1324,8296,962,-3572,-7660
-1604,1069,-713,-2143,7608
-251,849,-2070,-11,7352
1715,3722,1244,-3624,-7799
648,4052,-672,-557,-8207
-279,245,1996,-3199,-5966
1671,4302,-1902,-3697,1892
-606,4053,-745,3628,6712
1537,-600,2377,-4301,3123
1533,-5636,791,-5111,-2515
-815,3882,1565,-1739,-952
-27,1198,19,-5053,5222
569,6070,-1052,-3809,-4885
11,-6060,-1386,-214,6615
310,7915,-1536,-4115,-2906
2307,-3231,1775,-3100,3820
1131,5768,-2242,-3927,-2942
-657,5036,224,-1924,7228
-616,-1630,-924,-450,-6421
1103,7196,-755,4020,1200
1071,679,-1705,1049,4205
2324,3467,-1802,1709,1386
896,-1677,-528,1214,-5734
1153,-5060,-804,-2878,638
-914,2548,1697,391,4849
387,3022,702,2977,-4492
-2304,-4214,1042,-3003,2296
-1618,7074,-422,1962,-8291
57,-4865,393,2985,4065
-1015,3826,1664,4518,6288
-1441,654,1408,3666,-3832
1477,-3666,-460,-492,557
