column_1,column_2,column_3,column_4,column_5
-12625,42292,-209,-78,17533
11347,-70378,8676,-13740,-36265
-944,22962,5651,25858,-46860
18371,-44702,3304,18738,18372
-2443,-23333,3630,15063,-24905
13781,-78992,5239,8204,-11815
6179,-49764,9679,26157,-30542
5312,67137,-9588,-27008,-43702
374,40291,-3092,-23772,14011
18814,-52447,8519,22840,-10005
-16091,-58765,-14116,11665,-26499
2203,-20851,-6933,-25395,34169
11222,4573,3090,-10056,35225
17604,17684,7072,10405,1949
16748,61589,-5830,26606,-34315
-1527,46778,-13531,17626,40186
-4246,68640,-14571,13977,37487
12130,1458,6689,30326,-18081
1348,-54223,6445,-25865,46659
-4899,44106,-12111,-1238,-879
-7876,-75698,7650,-14762,1502
12880,20249,5164,-726,41041
-4014,77701,1272,-4589,2470
10084,72415,-9573,26695,-8265
8974,-69944,-10311,4604,-15989
15240,5769,-12274,-32189,-12661
4803,-37701,-3354,-25110,-50095
1261,-75701,-9391,-11112,10431
1588,-37198,-9897,31110,-9233
-14082,33849,3114,18262,47914
-9850,20482,12999,5331,-19695
-1234,-57233,-10902,-12358,-45961
15086,34630,-12888,15138,1266
4213,-81810,-6933,-24657,-26105
17474,-63941,-14095,5071,-22195
-8470,60837,-1356,-8013,47383
-8892,-75663,6642,25982,14459
-7253,52985,-1527,-4661,44777
-3123,82262,-7389,3493,42802
15532,11995,-12746,25319,34102
-9817,59588,8444,29661,31098
-12556,34979,7995,-18734,16966
-11415,27246,-5973,-13309,24931
11737,-65192,-8613,31851,-22624
-2205,79116,-14809,23949,-44564
-12740,-32246,5879,22776,-757
-1378,-31994,10752,-15694,-32374
-655,63261,7018,30364,11919
7762,60221,3323,9683,5618
18413,-56449,1895,-14610,50071
-7386,60494,-314,-28046,-47436
-11193,12628,-7367,4141,-31178
-14541,51641,-14407,16581,-44894
15106,68890,-1768,13984,-31205
6802,84049,10297,-12021,-14151
-1146,25786,-822,9767,-26944
-15246,61061,13934,-9170,14919
8619,-47751,-2962,-25082,-41636
-11141,41002,-1156,25018,39794
-5391,74874,11947,19026,-6159
-3560,81539,7125,11433,-19986
18240,9909,744,-23727,43554
8972,25710,9671,30166,37688
-5284,-8207,-7366,-2237,46065
-7001,82345,-814,-9067,22655
15778,65833,10000,1134,26847
-4704,-602,3720,-19294,5246
453,22400,-6411,-31505,48022
-3099,6345,10195,-32141,21875
-6110,83758,5374,10649,40310
-12614,75932,-12528,23959,-30827
14659,-46373,-1868,21358,-4716
-13315,-28928,2158,-14625,-34516
14237,48677,9887,-5649,37372
-5769,-33486,114,29418,14443
-13218,56688,7107,-25121,-15773
-3332,-43489,-14333,-24986,42370
13667,63440,5562,-12800,-31453
5795,15526,3410,-24648,22239
6532,29517,-9807,-26431,24504
17798,32058,11040,-23918,28601
-9363,49673,11010,24910,11512
-7717,41113,2735,-23371,1894
-15440,-16657,-12205,-29429,-29030
-11796,-72245,1634,21607,29550
6196,-15204,-10999,15242,-42983
3780,77720,14524,-12165,18218
470,-41171,13695,14505,16366
-7634,70352,-4837,29311,33849
9987,11960,-11632,-16609,16140
3170,57023,-1226,1835,15761
9680,79802,10867,-25448,25893
11683,-73051,-1632,12302,-20690
10055,1658,13230,11299,-16154
-2097,11371,-8568,-1072,-34026
-3380,27704,13662,-9442,-26325
-13678,-27687,8117,-1918,-6318
-13014,55409,12798,-9904,1615
-14279,-61435,4668,-11093,-6269
-12189,29151,10287,-24271,34344
-10261,-25482,10973,-29224,-21738
4489,-71850,-3433,10520,2513
18017,78497,6650,-7992,-48659
7247,-71448,1109,4507,21824
-13891,-34596,10021,5977,-47179
-11630,82529,11651,-6051,-49280
10061,-63637,-11280,-32627,-15450
9223,-374,-8490,17858,-14936
10609,58474,-6456,23506,4832
18779,-3823,3630,12483,-44113
12810,34537,-52,-29899,-5481
-12262,53787,-8009,7104,47293
3651,27452,13498,-3396,-10637
-7366,42697,11189,-29053,-3648
-934,-1212,-3045,16356,-43230
-13123,22995,1332,1367,-48925
16449,11036,-1482,21387,13781
-8078,59454,-422,6094,-13732
1153,-82049,11031,3614,46981
-9128,75947,4356,21548,43695
18478,-59825,-10291,-10359,-26728
-3326,-52325,7133,14623,12669
1141,-45448,-12419,3238,30108
13118,28204,-34,28061,20145
-16226,-75522,11856,31651,10139
9202,20258,-10650,1334,16137
14347,-27607,-4795,3590,-46515
5699,-72475,13945,-3889,-22513
9477,-55659,13274,19731,-21917
10623,58247,5961,-4569,-11612
-5117,-26952,11626,-9105,23968
16336,-78441,-6673,-10848,-22147
-9555,-20780,-5737,-11001,-26797
14702,16498,4429,-2799,20123
-5310,-56612,-13180,-28878,6678
-2814,-67685,7366,6210,-28492
1049,-54110,-3279,-30398,36214
13962,-15546,2214,1131,30575
-10155,-5951,-8891,-32102,-38787
10220,-58248,-8130,27288,-47951
3868,31040,-8578,12860,-45726
-4099,-38928,7074,-29817,22763
10532,-41536,-10311,26858,27266
7799,66211,-1698,-11028,23771
14385,-21291,-5781,28143,-23800
11706,84574,8333,30916,17062
-12111,-3893,2957,27459,-12528
-5480,58241,-8981,-20121,22124
2616,-30232,-12476,-22731,22952
1996,80916,11633,-15263,-23224
-14476,78224,-14560,19686,-13562
-3623,-20230,3743,-13023,-32202
-1092,18166,14332,-28463,48297
-13601,-62866,9096,-15993,44629
-3921,31357,-10998,12918,-26773
286,78740,-4984,3356,43222
-4029,-2272,-5650,26118,-18285
-14033,-75449,339,10832,49095
5514,-16786,-11173,2432,-9978
7511,3140,6322,22393,3624
2926,16420,-2368,19988,-23904
9973,23398,-6437,-10897,24226
2248,82456,3611,-12833,6728
12365,-78409,-7658,-23452,-19808
1855,54214,-1991,26766,10732
16423,70464,8004,-13403,37757
-15815,28234,-768,19364,3184
-8216,-75146,-5423,11790,-33910
-2377,27474,182,-10941,-20431
18822,75116,-13267,24526,-45333
3082,-53617,14399,-22378,-28425
17647,59525,-6899,16358,-20606
16135,-80993,1016,-24025,-38428
-1454,-9905,13145,-109,-9856
3383,2228,5687,1097,-1389
-1710,-42230,-6044,-4422,46792
8407,-23230,6483,-21863,-45366
14653,37893,-9833,-19299,-24300
-8237,-792,-5606,4642,-7155
-12913,-36615,2173,-28217,-81
-2580,75798,12271,-6839,13631
387,-32947,14106,3161,-33864
-9278,29371,2985,-20701,-36457
10142,-25493,3829,-2684,14755
-9125,-33551,-12218,-29530,38862
2206,-39318,8066,-24548,24236
4250,-71577,11409,-14038,37816
2145,-55667,4735,31665,40195
-8718,-78922,3756,25817,-41682
18780,-7763,2542,31319,12554
-11995,8857,-13877,-14310,-49329
15843,-4814,12263,-920,-18629
9423,-65115,12824,24740,-32463
13024,52692,5299,-25752,-32520
-15693,15380,6607,-25201,-35510
-3066,-28961,-3882,27660,-3128
-13494,57472,-11407,24327,-971
9362,-50828,-10868,9329,-11597
