column_1,column_2
1,34
-2,6
1,-36
-1,15
-1,-25
0,42
-1,-19
2,1
1,-44
0,6
2,-2
-2,-2
0,28
-1,-14
0,-40
1,-35
-2,1
0,1
1,11
-1,8
1,26
1,-34
1,-15
2,17
0,-13
-1,-17
1,-28
-1,-30
2,13
2,27
1,9
-2,28
-1,29
0,-2
-2,37
0,34
1,-5
0,-32
-2,-3
-1,18
-1,26
1,-17
2,15
0,-7
0,-31
0,9
-1,9
0,-15
2,12
0,22
-1,13
1,28
2,23
-1,43
2,-31
-1,-4
0,30
2,-27
2,18
-2,-12
-2,-9
0,-16
0,-42
0,37
1,-26
-1,-32
-1,5
2,14
0,9
1,-17
-2,-16
-1,-34
-1,-13
1,-2
-1,20
0,1
1,19
-1,3
-2,40
1,-31
-1,27
-2,29
0,0
-2,-30
-2,7
0,6
1,4
1,-5
-2,-4
1,11
2,31
-1,23
-1,1
1,24
0,-12
1,1
-1,9
0,-7
0,-1
1,-35
1,31
0,40
2,-12
0,26
1,-42
1,-45
0,20
0,41
1,-1
1,-11
-1,44
1,32
0,17
-1,-11
0,1
1,36
1,-15
1,1
1,-18
2,17
0,-43
1,11
1,-10
1,-3
-1,-26
0,14
-1,-37
-1,-32
1,2
0,31
0,-11
1,38
-2,-17
-2,-41
2,-12
1,16
2,-45
1,0
-2,-44
1,-23
-1,-10
2,23
2,34
1,-44
-2,-32
-2,-4
-2,43
-1,20
-2,-18
0,-34
-1,14
1,28
0,-16
2,-36
1,-40
1,-31
1,-7
0,-18
-1,-4
0,-18
2,-41
0,41
-2,-27
-1,44
-1,-17
-1,-19
2,-23
2,42
-1,-12
1,20
0,25
1,31
1,38
-1,0
1,13
-1,-30
1,-37
0,-38
-1,-27
1,-29
0,33
-2,-25
-1,-10
1,12
0,-2
2,-33
0,35
1,-30
1,29
-2,25
1,-25
-1,-41
1,-28
-2,-20
2,-9
0,30
-1,-30
1,35
1,3
1,43
-1,-19
2,-26
-1,-26
-1,1
-2,29
2,-7
1,-22
-1,24
0,-23
0,-43
-1,-42
-1,-20
2,24
0,-25
0,-14
-2,-4
-1,-25
-1,25
1,44
1,-43
0,3
-1,-39
0,-36
2,14
-2,-20
0,11
0,-4
2,23
0,14
