column_1,column_2,column_3
-12,-4,121
22,-4,-339
-10,-6,-242
-20,0,296
16,0,330
-12,-5,-358
-22,3,257
-8,-2,116
-16,8,221
17,6,-72
4,-5,-77
-6,0,-184
-7,2,-272
18,-7,-234
-7,7,1
1,5,136
-10,1,-254
0,1,-158
22,-8,-296
5,7,258
19,3,292
5,2,-76
-11,5,166
21,-6,-199
9,-6,-202
16,5,247
20,1,160
22,6,243
13,3,50
11,7,196
16,2,340
2,1,75
-2,3,357
-2,7,178
-21,5,311
13,-3,71
0,-5,-96
-18,2,-200
-3,2,-129
-20,-5,60
17,2,-23
-21,2,373
-12,4,-357
-10,5,-104
-1,-4,-289
-4,-2,315
15,4,-125
13,0,-49
8,2,-364
-12,-6,127
1,-2,233
1,-6,188
-1,-2,-279
-13,-5,-265
0,-1,-240
4,-8,-212
11,-8,-119
7,4,-105
-6,-5,-296
-20,1,-152
-11,5,71
20,-5,-9
11,8,260
-19,6,178
-1,0,-31
-23,-7,224
-12,-5,279
-10,6,103
1,2,-221
-5,5,322
12,-1,363
17,-1,-259
12,-7,112
3,2,-31
-21,5,-138
-14,0,349
-3,-7,257
14,4,22
-13,-8,-199
1,0,-165
24,-7,355
-2,3,318
-12,0,-311
21,-2,61
18,7,-101
22,-5,-48
4,5,-140
-18,5,-159
8,-1,-236
13,2,-165
-20,5,141
23,0,14
21,0,144
13,3,-287
-11,4,365
22,-7,54
6,-5,28
0,-2,317
-12,-8,-349
3,7,-183
-24,6,-365
7,4,31
20,-3,-366
1,-2,264
11,-2,-373
-7,-6,-104
-5,0,-30
-11,-7,-287
18,1,-47
7,-1,233
-11,-8,143
12,6,373
16,1,75
-8,-7,87
20,-5,248
19,1,-246
14,-4,342
-13,-8,200
17,-5,350
-11,-1,171
18,-5,-36
24,-1,116
1,-4,-152
6,7,122
6,1,-264
11,4,-191
-15,3,-72
-10,7,-21
2,2,-103
-2,1,144
-7,6,374
-6,-2,98
11,-7,-262
21,4,84
-16,-7,322
-3,-7,80
13,-6,-302
11,0,101
-9,7,103
-23,-3,-193
-6,-3,-308
18,-3,172
-20,-1,366
15,-3,-110
9,-1,-149
17,-3,325
8,-7,342
-21,0,-27
5,5,170
3,1,164
-24,0,-269
0,2,92
-9,-7,134
-10,-1,-110
-10,-7,-293
2,-1,325
-21,-3,370
23,-6,304
-22,-1,46
21,5,-47
-18,6,349
-4,-8,262
8,-3,83
-23,1,368
8,7,-182
-20,-7,233
22,2,37
-2,-3,37
-22,-8,235
-9,4,30
-12,7,-255
20,-5,298
-7,-4,-83
20,-4,147
-17,-7,-322
-17,6,-72
18,7,247
-8,-6,59
-10,1,341
-24,6,-139
-3,2,-47
7,2,7
-18,-4,234
-14,-4,246
18,0,51
-8,4,257
-11,-2,255
9,1,60
13,-1,-96
2,1,181
11,5,-95
-23,-2,170
5,2,229
-23,2,-287
17,-6,-321
-4,-6,-303
1,-6,64
-5,7,-213
24,0,-77
-1,-3,155
11,-1,93
12,6,189
-4,1,358
-11,-7,-183
10,4,2
1,6,-188
8,7,191
-11,4,299
-22,-4,30
18,3,164
5,8,309
17,-7,-126
-17,-6,-25
22,-2,-157
5,4,-331
-13,7,293
4,2,-125
-17,-2,198
-14,-7,243
1,-2,-68
8,-5,158
-5,-6,-132
-7,-2,101
-18,3,139
2,-3,-158
-14,5,-175
-22,3,352
-15,-6,359
22,8,-90
-13,2,343
21,-4,254
8,-6,-257
-19,6,-36
-15,2,109
-17,-3,-66
-18,-7,-165
-1,5,70
10,-8,332
-17,1,-70
-16,0,-276
17,6,-171
20,-2,109
0,-8,-90
15,-5,329
19,-7,217
15,2,-104
9,-4,137
2,-5,321
-18,3,-220
19,2,-360
3,2,342
-5,1,-251
-8,-7,-292
-10,-3,121
-15,-2,-66
-12,3,364
-14,-7,-35
-10,7,-215
0,0,-146
-11,3,-75
-5,7,307
16,4,72
-17,2,-20
-15,-6,90
-17,-6,-308
-15,5,74
19,-1,222
