column_1,column_2,column_3
4715,5148,-334
-3559,-1292,1377
-3446,-1135,-2329
-6174,5665,1848
394,-7466,-1079
-4985,2781,1461
-4712,-5480,-1879
5752,-4220,1509
-5876,4743,-2239
-2675,215,-735
2979,-4861,-1405
5179,1828,-546
6415,6432,-2148
-6222,-3025,-1713
4039,-2076,538
1714,-1716,625
4180,1943,1156
5450,803,-1460
-4363,-1341,-1104
496,-2543,1748
-2106,-6863,754
-6451,178,-791
955,-2066,769
3578,-6358,-2298
-2589,7171,273
3802,3743,516
-3133,489,2350
3315,-6370,3
-1830,4824,-1503
4655,-5420,-614
-1827,6469,-802
649,3752,-670
1705,-4846,1761
2465,-3176,1161
6046,-4687,-2040
2927,893,-1535
-6789,-7206,-525
6244,-4918,77
6511,2133,-996
-199,5922,388
-6091,816,-107
4709,4190,-545
5189,-5231,-1812
4591,3224,-1331
-5367,911,2177
3569,-3733,-168
1618,-2463,-2311
6260,-3187,-2425
1013,-346,-1933
1029,-2437,1305
4586,7052,2170
-3532,4119,2110
-3226,3897,-465
1852,-3611,1483
6473,-607,2550
3610,-5893,-2364
397,3615,2145
3488,5122,-956
2922,-5109,-1964
2218,1374,751
5302,6005,-547
-1638,5288,-1811
3350,-2696,-1646
-1360,-354,-878
-5968,2801,-1009
-4659,4512,-2525
3749,-3923,-1626
6890,2360,-1136
4389,137,-2103
-2304,5061,1485
-984,7407,-1371
-865,-4655,1639
4203,6890,1045
-5306,2043,378
-2186,-4201,-1831
-6136,2535,-2137
3393,7311,1165
-2205,-5350,-1523
5255,7344,1309
6932,7152,-864
6680,-5204,1653
-2342,678,-984
-3352,7183,-2468
1952,-6906,-2325
4579,-6544,-31
-4780,-288,2254
-178,958,1359
-4006,-1447,702
848,6481,2072
-6163,6202,893
327,2285,2288
2311,-1163,122
-6367,-7313,1644
3725,-3084,1521
-1578,-4003,1441
1996,3018,1222
4900,6102,-600
3380,4427,34
376,3307,-603
3149,-3443,1039
-2207,7315,1467
4719,5024,429
4022,-4200,580
-5845,-846,956
-6622,961,122
-2102,-2139,162
-6188,-6859,-158
-2044,-3853,90
6763,-5855,1258
915,4133,-60
-3241,-1814,-2397
-5307,5957,1110
6814,-1107,418
-6893,1217,66
4180,5045,2056
5148,3362,-1431
-3830,-1283,-2389
6021,4526,230
1263,7558,-1747
4915,-1264,-282
-4978,4056,1844
-3821,-1125,-1051
5755,-7097,-443
-2930,-4773,713
-518,-6194,2128
-1284,-1859,1964
5801,-718,1753
-5302,-3304,80
-4801,-1734,-2120
3693,-4299,-1352
-2770,3260,1294
-2350,-7600,-609
-5383,-1337,-1725
-3690,931,-1147
-4300,-7649,-1064
-794,4582,-2063
4980,1489,-540
3603,-5849,-91
-1742,-5860,-912
-4765,-5922,704
1686,2593,1429
-2451,-3514,67
-1131,-367,1810
6025,-4731,2125
1113,-7280,127
-5952,134,627
6485,7194,462
3472,973,-1739
5782,-3407,1637
-6425,-7556,-1793
3062,-2043,-507
-6667,-5911,1709
-926,4207,-1546
-5720,-2517,-1129
-4895,4386,157
5947,-2750,-958
-4108,-2255,12
5064,-7648,-384
2853,1257,-636
618,6047,-286
2981,-2546,2297
-2270,-7007,-325
5894,-5120,2511
-2538,-994,761
3495,-1256,-1023
1197,2929,2105
2152,-6986,1827
-85,5852,845
2828,-1216,-1808
-273,-2749,2242
1796,5254,-61
2532,-4236,-1851
-1915,-1695,-1994
1694,7473,803
1406,-3857,1144
2654,118,1215
-1076,3561,-736
-6053,5898,113
-5838,3417,-187
-247,-6257,-787
2693,-1655,719
-5257,5183,1866
-1126,-3579,-1963
3582,1579,2246
4,1023,-310
-4847,-1552,-926
3760,3147,1847
1169,7084,-332
3288,-4273,-400
1783,4009,-1739
5427,130,-103
3248,-6062,1689
5537,-1743,1501
1920,1442,-949
-515,-3669,-395
-2035,-1990,-804
247,3057,-1263
2268,5995,-2332
2732,-4401,-1390
-1340,4740,-624
4358,755,-1634
6240,5187,1646
4857,-1142,-1769
-5198,6349,-2399
-5380,2605,1975
-483,2485,465
6781,-4126,1487
-3696,-4141,2305
712,5190,-385
-3696,1520,1757
2488,-1493,-2335
6325,-2615,-678
-286,5292,-1195
4849,-2871,123
-695,-5770,-1061
-5046,-929,1118
-1303,-4760,1320
-6820,2842,101
3001,7507,-1795
-3300,-3288,460
-158,-2390,-179
3446,6662,-1892
2454,4401,2275
-4072,-6211,-2434
6376,-6809,974
-3671,-4183,-1774
6125,-4476,530
4250,-5753,-1830
-5269,-7396,427
-6171,2627,-1467
3095,3184,1467
6543,530,-787
-5518,-68,670
-3969,-6709,2203
-6552,-1367,-1899
-4259,-1425,-980
903,796,1846
-5599,3019,2172
1032,3342,915
-1368,-3444,1529
-946,5787,1155
-3939,6570,1605
-6645,-6440,531
3127,-1104,1202
-2137,-199,-2525
-178,1269,2395
-729,-7177,-1843
-2548,-6644,-2031
-6746,6101,1089
1515,-2652,-879
6676,5747,1245
5701,-281,-1864
6417,2267,2352
-3929,5027,-678
-2643,3055,-1327
-6346,-3165,-607
962,-6439,-161
-4249,4046,-551
-5687,-3215,-1018
4552,3286,530
-2503,-4803,-1256
-4703,-1513,-1552
5783,4417,1732
-825,6326,-1213
-5157,-5953,-1083
5493,2782,-702
-6029,4281,447
4770,5977,906
-4103,5512,-1211
3508,-7575,-1490
1625,1510,-1291
5070,-6310,-69
2227,5554,745
-4156,-6505,-2000
3103,-5880,-2155
2864,-5784,-752
6511,-4565,2284
3050,6355,1917
-225,-4797,1230
1482,3553,-2312
6471,-1603,785
3276,-4235,-2386
-1115,-6571,1269
3895,-277,860
88,-30,688
6217,3577,-1731
2666,-6437,1657
-4396,3046,437
4328,1105,-2405
4161,3570,-399
1150,7165,-2352
1623,-7018,-37
-6564,987,927
-3915,6383,500
4939,7441,478
2141,-7599,-1029
6063,3233,-1483
-2702,-2786,65
-437,966,-761
5711,-3010,500
-1671,445,-238
-4309,-4570,-1838
6015,-6969,-1855
2144,7029,-2457
2923,-6921,1166
6778,-5399,1680
3645,-3044,460
4791,2919,1393
3147,814,-1538
-3070,6128,-1352
5507,3583,-777
519,-4310,2350
-1991,-3190,418
3411,-6629,-528
-2086,950,-2522
6187,-2369,1793
-6260,-5091,-469
3169,-7430,163
-3098,-3540,-1430
-2693,6886,-2027
-6744,-2905,-822
-3332,4110,-1169
6638,1315,-1344
136,3815,1375
652,-888,224
-3644,5626,2078
-6887,3744,-2274
-2646,-6821,-1550
6388,2867,-1239
-4569,6978,-932
-2934,-4843,-538
-2086,6097,1682
3424,-4184,-1996
2069,-5895,-1601
713,-2162,-490
-4082,-4383,-423
276,-1882,-1240
2909,-5930,-218
1213,-4956,-1972
-3760,-7368,-1976
1969,5678,1444
6852,100,-314
-3606,-4826,-2172
314,3510,1567
-5801,4802,-131
-2706,-1731,-486
5553,1096,-1740
-81,4892,2443
1585,-4339,-62
-1096,4508,-492
-424,-1273,-1398
-6201,926,-1105
-2116,4596,1261
320,-4082,-2291
3433,-4084,-1008
-1374,4005,519
-911,-3747,867
2976,624,609
-1651,-5603,1333
1405,-6386,1196
4695,-7054,245
-5229,-7423,459
-5332,2414,-2541
-5743,-7403,-1340
6453,4247,906
-2344,-1025,2337
276,1453,1299
-822,-805,1854
-331,-1278,1888
-5161,-844,-2427
-4636,-4397,-1909
-4375,3567,-121
-753,1619,770
5051,1345,-534
-3689,-6133,1301
4981,-4291,-1275
-2421,6078,1872
-5573,5892,-1517
1793,-7327,433
2009,-7429,-845
-3554,-7638,-804
-4778,-3213,894
-201,-4461,396
-5499,407,399
-3222,-3602,-2046
6534,2142,1693
-6229,549,-355
1484,213,-345
-6258,5872,370
-2094,-4391,-412
-4883,4479,382
-6929,-1554,-2158
294,6738,2473
5402,4758,-2208
-2916,-2648,-1702
4025,2379,-1335
4335,-5810,-2541
-2148,-898,-2540
5506,6552,1135
-3039,3991,651
4252,1855,2222
-5698,5142,-1263
-2187,2124,-2522
-5246,-4618,-1891
6457,-7253,2136
5865,-5862,1838
-5485,-984,634
5282,6267,-956
-4948,-5494,-443
-4588,-5310,-1870
6362,-2214,969
-2537,-6569,2058
-388,2347,486
-1012,-3414,781
-107,2696,-1197
-1490,3453,-1728
2004,-6279,-1513
3028,-569,-369
5305,1929,1965
6858,-1145,-1729
-5162,-6739,-2356
-6119,155,1629
-656,-355,1469
5243,-537,411
-5090,3132,-216
-2390,1995,-1292
1121,5370,403
-5417,2634,-1668
-5490,6340,-122
-1619,5753,1654
723,210,969
-665,3548,254
-3674,697,-2063
6410,-7045,155
-1951,7555,1670
-6858,1076,-454
6653,1054,2091
-2060,2341,1828
2616,1296,-2219
-2558,-6300,-2239
488,-7294,1800
1326,-1580,-2269
1760,-7445,43
3017,-6114,1769
3507,-3375,-1972
6347,-4707,603
6731,-884,1255
-4635,-4754,-1797
-3691,-2872,82
4040,1128,1702
-5567,-6249,-152
524,6690,1073
-6291,4479,182
-1516,-2571,1895
-4005,-1296,-1146
1126,-4285,-946
-2418,3250,-2210
5308,-2811,-642
-2096,4398,36
63,-6507,-116
-6918,-159,1286
-6335,4036,-356
4439,-1724,-2045
-721,-1701,158
676,3662,-2515
-5464,897,-2412
-1353,2166,955
1609,-2566,-333
2539,6235,1467
608,-6592,-895
-4353,-4412,-409
5741,-116,-668
-2118,-594,-969
5040,-6310,1391
239,-3371,1293
4970,-5754,888
5686,-2173,-2192
-6439,-5465,-1056
4691,-6950,-1375
1672,7125,-147
1876,-3032,-355
-1137,7031,2025
-520,5507,-1823
-1883,5249,520
-6775,-1714,-2117
4707,-7511,-2077
-842,3108,-506
1337,-789,-2237
6981,-4077,931
2068,-5660,71
-6464,3778,-2174
-1878,-1767,-730
2612,815,-239
-3748,1367,1130
3420,5648,545
-5464,-7008,774
1331,-2742,1470
-1313,-3098,-2544
6056,4446,-1897
4953,5711,-2437
3798,3000,2516
3191,-4962,-1699
-242,-3865,1790
2061,-1565,-1812
-4073,6202,180
4318,2425,1996
123,-4149,-301
-4730,-100,2559
-5293,3423,899
-3548,-7255,1883
6176,-5821,488
3741,-5752,2295
-496,6593,913
-2714,7452,2081
-2769,6877,1450
-3814,-5919,2139
-3732,-1094,-2517
289,-1740,1523
3083,4175,2461
-1091,-161,-2266
-1863,-792,-1023
-5565,-2856,124
4645,-3185,1517
-5656,-164,-1867
3460,-747,-1874
-1474,399,-1705
300,128,2114
-4157,4275,2179
