column_1,column_2,column_3
95,-583,-118
-7,-378,-77
107,-303,18
-20,-560,-27
-108,119,49
-47,469,-140
12,-672,-65
-137,726,-133
44,-433,45
106,-313,4
-80,372,68
-44,-237,131
-129,233,-61
-50,-141,-72
-76,-587,35
-125,-391,-15
-90,-207,-99
84,324,119
25,149,-131
-38,-75,-119
-114,-419,-75
-14,-60,-9
67,179,53
-15,538,112
78,53,-114
-110,-130,-116
6,54,131
-54,141,144
85,23,-114
21,-526,-62
81,-579,112
-45,284,92
-125,2,84
61,-247,8
116,-320,2
21,-616,-120
-63,-393,14
116,-739,-89
51,697,116
-70,-369,120
-25,-773,75
-41,-427,78
66,483,101
-49,-624,-98
96,412,107
30,545,-136
-82,-721,-33
0,-454,-69
133,-137,-86
-118,-4,118
27,-425,-22
32,-616,59
-60,-368,138
83,-583,-84
-46,-151,145
-124,370,-62
100,-223,-113
98,-102,4
86,131,-21
3,-578,83
131,-333,-71
-3,-133,-105
99,38,-101
121,-351,-42
17,467,68
-9,324,35
18,-157,-46
84,-418,25
-22,-767,-66
71,300,92
15,194,75
-82,-782,-142
106,-60,32
-117,-389,-104
64,-429,-87
18,-434,34
-100,288,-36
-8,-157,17
-57,486,-86
33,293,-70
108,352,49
40,-46,84
3,491,-111
35,-390,16
123,40,48
19,-494,-58
-106,163,54
-40,-179,-61
107,746,74
37,76,43
63,-343,38
59,378,-98
42,-423,-14
27,-262,92
-119,-734,18
24,-566,-3
-72,476,-25
-94,27,50
95,602,-102
100,40,39
38,484,-45
-113,-15,78
73,659,35
-27,-680,42
123,653,23
14,-117,-85
-127,175,-19
-76,-476,-82
-51,-723,-81
-117,301,17
58,742,-56
-2,-697,61
20,-397,134
83,568,112
-92,-379,-140
-30,-79,-5
-15,569,74
-52,-755,23
123,-311,-70
65,-152,126
-73,365,-29
-46,323,-15
132,-293,-58
3,-68,-122
-44,-185,-24
95,-515,-88
-66,-41,30
49,-272,-82
25,-623,122
-9,174,79
63,-245,-132
-134,58,-112
96,-723,62
-112,605,138
85,-690,93
136,-490,37
111,737,20
-44,-530,-113
114,-198,-137
106,622,-93
-45,189,-42
14,444,4
19,211,-3
-54,771,-111
-11,-108,-80
-66,-19,63
-129,73,-50
115,-103,-107
36,177,-52
48,497,-114
6,-176,-53
-91,605,-75
-137,-526,-115
38,679,62
98,-608,-10
104,-613,-103
106,-74,-113
28,696,-108
97,-165,56
86,-485,-56
132,-70,49
-61,-402,-141
96,-233,145
-43,477,55
98,-57,116
72,168,15
25,-402,-27
119,518,32
-21,450,-144
130,-354,139
-90,227,-117
59,76,136
-59,555,-84
-74,521,-46
-51,643,58
-91,-252,-98
56,264,-27
-32,-433,136
-42,-618,60
-64,172,-38
11,-697,-40
-45,418,-57
126,748,84
-14,-16,-130
-121,53,103
-127,801,-103
-117,-601,-71
-130,238,13
49,274,-125
-31,-134,44
-26,94,69
113,326,47
138,789,-15
82,-62,34
20,293,104
70,176,-5
6,716,2
22,-790,125
-113,-180,124
-75,672,132
96,-700,-106
91,-47,-4
22,-141,-94
-83,588,-100
-69,344,109
-9,-443,-20
57,8,-104
85,-662,94
-86,-581,70
65,371,-45
-67,539,44
64,278,-131
-26,183,-127
10,622,2
48,-14,40
28,466,-111
67,269,-140
-51,-804,51
112,466,10
-30,666,9
125,-161,-102
-107,634,-2
115,-634,-32
63,67,-58
-87,43,-121
-43,595,-93
20,-198,-13
-15,-250,45
-7,406,-48
129,-356,-136
120,1,49
-1,20,15
102,-569,101
-139,505,10
121,492,35
43,118,-109
-29,593,130
9,-563,93
114,-532,-61
52,-778,-67
119,-796,98
128,123,145
54,-733,98
-72,-298,72
32,518,55
13,-444,-27
-131,766,116
91,-626,26
77,152,-127
-97,278,-9
-13,-689,122
136,239,-128
-73,-606,138
-13,720,-129
49,-529,73
-42,421,42
54,-289,49
87,-136,127
109,-397,-76
58,-318,54
-34,666,9
109,-222,57
-87,100,-49
-103,482,59
-137,-199,-118
11,-223,-142
94,-532,-59
136,-129,-84
25,690,59
84,-296,15
-121,-236,-108
-26,-94,-44
121,556,90
-94,261,132
94,-559,-31
-4,-423,47
-17,289,-131
26,-661,50
-23,-67,98
-137,-65,-139
72,-684,21
-8,72,-49
-122,435,-51
-74,-790,146
72,611,-44
2,-233,138
8,138,74
32,-307,119
30,-227,-137
7,-623,22
77,214,-138
123,-101,64
-27,362,40
81,21,121
-66,136,119
128,-87,-131
4,-531,78
-105,665,-52
-8,712,26
131,-218,83
6,-548,-87
-12,210,-52
-97,-471,-46
-22,-785,113
-92,-76,35
-62,300,-28
-83,341,-58
-1,-333,-29
95,427,-55
-30,10,88
132,-347,-26
56,475,24
60,697,-48
-33,276,123
-59,222,-32
-119,-529,4
-134,-681,-40
47,329,111
-52,45,-5
90,77,109
-106,-527,-26
-29,-89,-43
-104,505,-78
4,35,-7
22,155,46
91,645,-12
-96,747,-100
101,325,128
113,467,-58
-114,101,-85
-120,422,-79
-7,479,57
75,-624,38
-120,-160,7
25,-449,32
-93,685,21
-50,-54,-51
6,55,-8
-135,720,-93
70,-298,39
51,374,84
-40,-369,82
25,628,107
115,-389,-10
82,-434,41
-64,-95,59
-17,-434,-54
-94,-767,-20
-80,-358,66
102,576,124
-26,441,10
-120,-234,-57
117,282,-134
71,734,-64
80,-799,-95
-8,689,129
-89,650,-120
3,705,17
-63,389,-61
-2,-565,7
-27,189,49
-104,-449,-117
-35,611,123
-90,-421,-102
20,334,-20
-26,-744,-28
104,318,-34
-11,602,-19
53,462,-136
-64,222,-54
60,-274,113
-73,727,-31
46,415,-102
128,-663,-90
-48,489,82
52,-466,-6
-130,-354,-17
3,808,128
28,327,-61
-88,-381,96
44,-680,-130
-111,784,-80
51,-448,-96
-134,-802,56
-49,637,67
98,-627,-69
-89,9,-8
-21,76,3
-42,-315,-69
82,-561,-14
13,523,-103
-65,-693,-128
-98,108,-138
90,-192,109
-136,-583,-48
-59,557,-28
-59,-796,19
41,-416,63
-31,-536,-105
8,-372,-113
65,678,-25
95,-689,-118
-28,783,34
58,-594,-87
122,302,130
-138,704,74
44,213,119
15,-558,-79
134,35,-140
109,563,43
-102,-753,-93
-23,429,43
103,653,142
-81,-158,-13
14,703,-139
-37,-169,9
-77,682,-108
89,560,61
-3,721,-60
-102,274,85
-91,-381,86
16,683,98
-126,-577,-33
13,535,-145
-117,231,17
131,-407,-113
97,-675,-1
108,-53,5
-34,537,-8
9,610,-75
59,229,-84
99,-291,89
114,268,-33
-30,6,103
60,562,-69
93,262,95
80,797,46
-69,635,46
-115,23,21
-11,-607,85
76,42,-92
121,-695,103
102,329,57
99,570,59
103,339,111
-103,-276,-23
24,-618,-24
100,29,126
-73,-209,-33
-97,-189,52
-104,-568,22
-6,208,5
34,328,124
-35,-597,-44
56,-337,102
54,-717,-80
-138,-202,77
-32,-640,-33
115,672,7
76,-633,37
87,-697,-41
-42,779,-94
-20,374,126
-12,-727,-22
-13,294,-141
43,-92,116
-72,-236,-6
49,462,88
-73,-750,-118
109,-496,80
-84,-140,-65
-67,665,-20
138,635,104
-49,436,-33
-84,-596,-134
-34,469,-90
-32,-81,74
-124,482,48
-7,-278,-92
41,59,2
61,-740,-114
8,-417,-61
-49,364,-135
90,473,-42
-119,28,-139
88,262,-67
-87,-159,124
87,42,-141
-5,698,58
-100,-662,-40
-118,536,-131
-131,296,-69
-4,-67,-45
-89,156,143
95,694,-96
-56,220,-73
-114,-103,117
123,-206,-139
-19,373,107
14,193,53
91,417,-113
108,17,-130
31,-672,136
-84,478,-98
58,-217,119
112,23,-102
-27,-641,41
-62,-167,94
-23,-128,145
-56,-341,136
131,-301,-146
-7,108,-47
-135,-443,-144
