column_1,column_2,column_3,column_4
-45,-25,14,-5
-6,-19,-31,-2
-4,-26,-29,-19
-34,-18,-3,-19
-10,27,23,26
-12,24,-24,20
51,-7,-13,-13
3,20,11,2
37,28,-17,13
33,15,15,-12
-38,21,0,-6
-46,-16,18,24
41,-10,27,-21
-11,14,-1,10
14,27,0,-7
-25,17,11,-23
-40,7,32,-14
31,-5,-17,-20
48,-22,-1,26
-16,13,13,2
-8,15,-23,12
-33,23,23,-19
-7,-21,31,26
-24,-30,31,-22
-20,-12,-14,5
15,-14,-17,9
-40,19,9,9
39,9,-23,5
-6,-22,28,-12
-20,4,-31,-10
7,-29,18,28
50,-23,4,7
-19,20,-16,8
34,-19,23,26
29,4,-11,21
22,-25,30,0
-37,-19,4,5
-34,23,8,4
31,28,-12,0
-23,29,-22,-6
-15,20,-15,-9
25,9,27,-15
20,-1,6,22
-10,-8,-19,-4
-3,27,27,-11
21,13,-18,17
23,10,-11,-11
2,-20,-23,14
-13,17,7,4
19,-7,-10,-13
-47,-16,-3,11
-19,-4,-10,20
-12,23,22,25
53,-27,13,17
27,25,-16,-9
-15,-15,6,11
45,1,-17,-16
19,25,-16,-12
44,-14,-3,-16
48,27,-3,17
14,4,18,19
-20,-13,5,-24
-12,-22,6,8
34,0,22,8
-39,-13,-9,-10
32,-27,12,-5
-38,4,27,6
49,-23,-8,21
13,-11,17,-28
-38,7,0,-21
-2,21,7,-13
35,4,26,27
-24,-21,9,-2
11,-29,23,-8
24,8,-28,-7
-29,-1,-20,17
-48,-3,-2,-12
-42,27,-7,3
31,-4,21,3
12,-2,5,25
51,17,-17,2
38,-25,-19,-18
15,-2,-25,9
-20,3,-3,16
-10,13,-18,-10
46,9,30,11
49,2,-8,2
17,9,23,7
-12,-14,26,-9
-15,-22,-19,-12
-49,-12,-30,26
44,10,-32,3
17,29,7,-12
46,-25,-12,-25
23,14,22,13
7,-6,-15,-8
-18,-15,-23,14
-7,16,20,-21
41,5,-31,-19
44,-26,-32,28
17,30,-14,-21
0,-13,6,-26
38,-14,-7,3
27,14,-31,26
20,-21,-26,-9
23,14,23,-10
44,6,29,-13
-32,-15,-5,-14
7,-5,0,15
2,-16,-9,-2
-29,6,-30,16
40,29,-28,-9
-15,-4,-27,23
53,5,23,-17
46,27,-19,-24
6,-13,19,20
-19,18,-9,-18
44,-20,14,-4
29,24,24,23
33,-21,2,9
43,27,25,-18
-50,12,23,25
-44,-26,-7,-6
-31,-27,7,-14
-2,-12,0,-8
38,24,-7,14
-41,19,14,24
14,-12,16,23
43,-20,4,8
24,21,10,-12
29,30,8,28
15,23,30,-5
19,-14,-10,2
-51,-7,13,-17
-53,17,25,-26
-21,-6,-19,27
-21,-9,-27,-21
44,-28,-15,22
26,17,-24,-9
-18,23,-23,-26
