column_1,column_2,column_3,column_4
72,-260,86,105
7,196,167,118
-110,-135,-97,132
126,-229,109,-638
196,147,160,-258
104,-141,-23,724
-3,-283,-68,-639
101,-285,45,-56
-69,172,-92,249
307,2,167,148
-1,-278,-52,-602
-244,-103,86,471
196,53,-167,333
-323,281,-114,367
132,-126,140,300
75,147,-5,-534
239,-126,-130,-550
-43,211,70,703
-2,-81,113,554
-162,-229,144,-623
136,296,-86,561
-16,-166,-47,-132
113,51,49,-642
-69,-145,-23,324
-53,123,57,-463
329,176,129,350
277,-152,-123,679
279,-123,128,29
-23,-2,177,321
300,46,109,-660
26,263,103,-639
301,-107,104,219
-224,-99,-121,-360
-95,234,-157,264
-176,-154,122,626
-280,293,-169,-56
202,-1,75,351
242,-52,-167,177
216,105,-135,682
124,13,-39,-549
-40,-18,181,102
131,158,-120,226
294,68,-166,-330
272,264,-51,-18
52,91,-113,737
181,200,135,-68
-31,8,-83,-246
-143,75,-104,257
84,218,-64,473
325,-6,-176,-355
-202,44,171,389
-34,246,49,-432
219,44,126,189
-34,-190,62,-718
321,-70,-183,-600
253,279,16,-656
-1,-189,102,194
0,-233,-128,159
-276,-246,-41,-16
70,259,-41,-603
-219,245,45,173
292,244,-175,-98
-5,-287,-3,242
-318,262,158,165
257,122,149,583
32,-107,61,-336
-159,-263,75,295
215,-205,142,512
-167,-291,128,368
-197,133,-180,-297
216,147,-157,-63
83,177,-36,-219
-81,148,-100,-401
-327,231,-116,-446
-142,-35,-8,-699
270,121,-8,356
298,-235,-42,433
-28,103,-105,-254
-207,173,-50,-33
-286,-171,-45,-499
205,282,118,143
-266,103,103,-235
272,69,-124,-475
163,198,-49,449
219,44,69,311
314,105,108,252
164,-272,-164,508
258,-50,-163,-499
-15,-200,6,-693
-281,-225,104,23
5,27,-2,-138
-1,245,-116,-564
203,68,-76,606
-102,-136,14,114
-289,-9,-112,134
-86,-127,-106,103
85,-155,15,17
84,269,42,416
244,-101,-36,376
-8,298,-74,568
2,-44,-174,498
-226,156,-135,199
293,-247,155,-504
-307,-242,64,-510
-299,191,152,202
-280,191,-59,-21
-23,154,77,616
-61,-178,28,-522
4,-5,-76,-29
185,9,-64,-407
-81,-2,110,-563
317,-64,27,-613
-73,260,173,314
-213,289,-88,29
249,121,-42,-646
60,-146,-68,-507
267,-27,-44,154
-171,-252,-105,-192
-146,-21,-68,463
157,28,145,345
114,-69,-107,75
