column_1,column_2,column_3,column_4
-738,-3420,1809,1501
142,-3071,-3933,-2162
-904,1128,4122,967
-97,629,2739,-285
-46,2837,607,-219
-795,1723,3454,1010
-819,1734,-2640,-397
-206,414,2356,1731
283,-2766,-3822,2057
515,137,-2857,1109
424,175,-4954,-708
-327,-397,4031,673
830,303,-4633,-1657
-232,4297,2643,-1065
-119,-547,3515,-343
374,-2411,3729,1351
300,-244,-2260,-1375
-393,-2063,-3931,-1822
-327,3220,-2941,-80
214,-1296,-4032,-833
619,-3590,-4223,-604
148,3830,4021,-1254
-470,3337,-4233,1879
-805,2244,4431,1762
-391,4339,-4473,-369
419,-2580,290,-465
-285,-4178,2186,102
-589,105,-2979,-138
-752,3244,1379,-12
-454,-1624,4530,-1186
-690,-2916,-424,-247
-936,-958,2678,-1944
504,-4604,-1459,1449
647,-2528,-4684,-1381
-814,1945,-1315,717
-793,-349,2369,2162
94,-3902,4135,-1331
-39,-2514,1223,-438
-591,4582,4794,1644
-429,3403,2731,368
101,999,2661,-153
251,-1865,-4018,2031
462,-1999,-1121,-134
657,2963,-2660,1040
223,-3272,-2503,397
495,1610,-3180,2168
27,-3133,-4833,-1933
5,2774,-5164,1198
172,4201,-856,621
-863,1839,2891,1575
587,360,693,371
-481,-3110,3718,1360
579,-2875,4960,-1131
45,2842,677,-1327
522,4030,4375,-1239
-132,2985,-4016,1486
-27,599,-3022,547
-598,603,-4065,245
82,3077,-2738,2161
688,2107,-2487,1016
642,-1404,10,1315
-614,-2503,4253,1719
150,-2731,4284,1025
-910,-14,5071,-1255
-500,-3170,-2623,-801
-247,1143,-1582,107
-810,2126,3350,-1292
290,-4493,-2044,-1580
-775,2237,1408,-1859
871,-581,3517,-1498
492,-1509,-5088,887
-625,-4076,-3024,-243
391,2988,-320,-2128
445,1381,-4087,60
-86,2179,371,1218
-695,1485,4365,-1122
-245,-453,511,-1394
692,-4444,-4102,693
-340,-1460,2810,-905
-960,-2440,4656,119
-434,3203,3461,-100
16,-2542,-1283,1804
-454,-1569,5146,-901
-792,705,-4287,1714
957,2311,-4140,1391
-320,1133,-763,674
193,-4017,2696,1212
-242,3054,834,25
-33,585,1699,-1121
-147,-920,355,-1742
860,-2990,659,2207
828,-381,3293,-1451
-879,-662,2188,1365
887,-1185,2654,1034
560,-2301,4126,-402
87,-2769,882,1390
531,-2228,2248,1499
265,979,-4017,-850
-434,821,4846,-791
318,1114,2775,-415
309,3406,-2948,-1654
-221,2239,779,-1387
7,4256,2528,2022
140,57,2196,-338
560,-3772,-2718,2156
568,-1854,-2010,-1337
517,-1116,-1368,-104
-510,-4416,-2703,1030
489,95,893,1072
152,-1442,4359,-500
427,-3233,2907,-1864
-95,-3111,-4453,-1691
104,-864,350,1129
-341,3707,1808,-1112
-56,-602,4280,-1052
683,548,3725,1480
799,1056,-5079,352
86,1715,2306,1883
15,2144,-2183,-267
444,-1586,-2824,571
502,-4,-1239,-2114
908,-1559,-1401,1109
502,1176,2552,1782
71,2641,2940,445
-378,-627,132,1799
262,-1657,-1161,755
-15,2282,-4779,-1435
-267,1698,200,22
-693,-2620,-456,1284
85,763,-618,-897
931,4042,225,-1177
732,4417,-3361,-1388
-762,1227,1521,-1228
-409,-2004,1286,133
-15,-40,-1032,-1672
188,1963,4972,-1559
-136,-1175,5059,1753
-880,-1153,-4734,-96
424,1936,1219,-1846
-94,-713,-521,-1858
-933,-539,-3032,-648
470,-2651,3271,-1274
-100,-358,4504,-969
735,-3904,-4910,-1053
-190,4033,2052,861
740,-3527,2204,285
-47,-4454,2892,381
24,-3292,4581,-1262
355,43,1444,-294
-249,3575,-190,-1336
-697,1932,711,1256
-948,2848,4435,1880
-233,-3421,-4646,264
-501,-624,3267,-1146
562,-3655,-3366,327
-876,4471,-5158,1966
-612,-1854,4683,2100
189,-4482,-3789,-1413
-920,-2888,-4623,-1008
292,2562,-2992,754
-415,3112,-577,90
-626,4264,897,1261
-16,3678,3488,1758
261,807,-4307,-1186
49,2022,-4174,330
696,2239,4835,1105
127,1727,-1502,264
-914,-2280,-2518,-1578
-805,304,-4108,416
859,466,-3881,961
115,-1716,3462,1279
477,-3561,3169,-895
-585,750,-4241,963
-379,-3195,-1288,-518
848,-2570,-4442,-1207
386,-294,-4341,157
-765,637,5144,-1757
709,-2894,5032,-1720
-771,-2200,3550,149
-670,-2542,851,-54
-435,-3689,-3214,-102
-69,-4056,2542,903
748,-1310,-4756,-1043
338,-3977,1000,-1503
56,10,-422,-2045
663,3179,2297,891
564,-2372,3338,-832
472,3139,1685,-171
766,-4321,2864,-398
812,-2482,-2943,-817
485,-501,-464,609
-571,-2636,1843,-485
-351,322,1828,1932
-339,1365,-4995,193
235,-711,-5153,1099
-660,-782,-98,387
405,-959,463,-281
300,417,-4606,1837
-22,-2142,1778,77
-520,1014,3791,1180
-6,-4450,1320,-2017
-671,-3413,1891,-121
556,-1385,-1037,247
-84,-2662,-2552,593
-822,946,-664,-1290
214,-1549,-40,-446
889,1720,1818,-1666
-630,-3361,2219,-1341
37,2718,-1374,-716
784,55,-4050,-1235
-415,-1425,4339,664
-566,4131,-5153,-1549
-134,-4436,4874,1260
493,700,4773,1073
263,483,-776,1532
864,182,5202,514
-248,1361,757,-83
-261,114,3162,385
524,3658,-4190,1907
-938,3585,3363,1995
868,-1361,-3002,-2163
-101,-330,4228,312
-681,-3562,-4048,-673
-163,2383,-2391,1135
-337,4108,4,-1824
-75,-2329,3464,825
-645,-743,5098,-1204
-625,-4182,4722,-1965
-485,-2449,-714,-729
226,-4051,2701,692
-821,1371,775,2091
789,-88,5092,-1179
-709,-2609,-1796,-1165
94,-3199,4735,936
787,2787,-2211,1366
-913,-3826,4635,993
721,3762,3716,40
-876,3533,-1985,-2108
-873,-1071,2983,1183
764,1208,4074,-434
311,1232,-3635,-1076
-389,3409,-4153,1897
128,-3637,-233,-512
638,1296,-4970,924
-887,1455,1405,696
-311,3880,-4884,806
882,44,-3119,-980
526,-444,-1399,-195
340,3179,-2505,900
487,-2934,813,350
-59,3486,5215,-1521
-497,2695,-2858,-1326
-700,-85,2482,-139
403,3471,3098,344
799,-2208,2214,-1322
514,-3992,663,257
761,44,3808,1493
-261,-616,-5143,-1262
-334,4454,-1238,-826
286,184,2414,33
-735,-3270,-4828,245
-632,11,-295,-1857
-375,-3042,3177,-358
-638,1322,-4665,1004
-527,-2590,-639,101
13,1457,-147,-749
616,596,-2119,-1821
589,2607,64,-1317
379,3178,4217,1853
75,-3515,3950,-1092
27,-4004,21,-355
-366,2854,5012,-2206
-201,1270,-2123,175
-641,2630,1626,-1069
346,-3506,-998,-1535
644,-987,3859,1635
-425,2403,5048,-691
-597,-3339,-204,-1145
82,-1079,-4189,-150
496,-2821,-85,1839
425,186,3846,-1796
56,2293,-2089,-481
856,4450,3256,1651
862,1996,3764,-1116
-709,-3330,-329,2132
396,1712,-4981,-1273
-213,-3278,-4940,-1093
33,-1576,3608,1417
-588,-470,1419,-829
850,4444,-2832,194
89,2735,-761,766
-449,-2475,534,-1547
-115,-4353,-3626,-2018
129,-4265,-4181,-1641
744,1099,2154,261
-266,1635,-3114,-197
-184,2183,4827,-579
225,-1938,640,2099
-584,-4227,-2889,1772
213,3448,5176,-437
373,995,5208,1707
-148,-1573,-2104,136
-182,-2074,-4093,-1607
778,-4307,2404,-1116
-408,-241,3617,1402
-946,803,-534,371
-864,-3604,4856,-9
-7,-2155,1344,1583
197,4111,-4047,40
871,-3687,4201,-1942
645,229,-4730,-28
569,17,-3147,-1867
-753,-2151,-1876,-1675
125,1546,-899,-1897
74,-1418,3248,-2007
285,1967,-3018,1883
-937,-1895,1341,1919
542,-527,-506,1025
-88,1212,1489,-222
927,1176,4475,1482
408,-484,282,-1756
-536,1373,2851,913
-726,3593,-410,1193
58,1830,4736,-1097
-344,-2571,-2854,266
544,4252,-1424,-1008
218,258,944,-1787
721,585,1075,83
2,3566,4893,-504
181,-4377,-3768,-1828
252,-2801,3140,-1760
124,3498,2712,2037
-911,-735,3237,-591
33,-4465,-2711,-1266
189,-2471,4423,-1061
-114,3032,-2613,-1678
-175,-3893,2632,1397
-123,-673,4468,-1882
366,3993,902,-1463
681,1883,1636,1412
626,-949,-1908,-806
143,-4196,4859,2017
-327,1904,2330,1234
-27,-3341,1937,1513
-678,3263,-3623,-259
320,2147,456,2057
756,-2180,-606,-1263
-686,-2192,-3977,-1040
-707,-2436,4202,1906
97,2930,-1220,603
-352,-2905,3878,480
-603,598,371,-156
-333,4563,-3060,2094
771,-3183,-513,-475
548,-4487,2647,-1110
225,-3588,-4981,-1852
-683,1462,-4514,1854
422,967,-89,200
-951,2852,2722,-1606
884,-1438,-1308,-2033
560,2905,-2666,-1623
-625,4160,-243,996
264,785,3945,1640
538,-2373,-295,-1554
-949,234,-2345,1083
179,1540,-1254,898
423,1454,-2115,1903
-844,-1552,-355,766
594,-3551,3187,677
868,-3271,-2813,-186
-822,-419,3705,-1386
339,4200,49,5
-630,-480,1798,2002
369,4032,4204,1603
-225,-664,4486,-1692
405,-4308,-4189,-1974
-917,-4020,4247,-905
-474,752,2744,-465
239,-867,1898,473
-581,-2053,-2784,431
-170,3764,809,1850
-216,919,3570,1885
-632,2366,-1695,1384
